,returns
2009-01-01,0.0
2009-04-01,4.9999
2009-07-01,4.28583
2009-10-01,3.92686
2010-01-01,4.1301
2010-04-01,5.8227
2010-07-01,5.94482
2010-10-01,-0.40081
2011-01-01,7.24351
2011-04-01,8.81801
2011-07-01,2.93101
2011-10-01,5.1089
2012-01-01,6.85257
2012-04-01,6.33854
2012-07-01,3.15574
2012-10-01,6.73005
2013-01-01,2.42043
2013-04-01,0.93279
2013-07-01,4.25141
2013-10-01,2.12765
2014-01-01,4.45605
2014-04-01,4.1551
2014-07-01,2.65958
2014-10-01,4.66321
2015-01-01,5.0
2015-04-01,1.50871
2015-07-01,1.34698
2015-10-01,1.60402
2016-01-01,-1.17274
2016-04-01,5.4703
2016-07-01,1.65069
2016-10-01,2.25628
2017-01-01,0.75054
2017-04-01,3.80046
2017-07-01,0.47772
2017-10-01,2.0206
2018-01-01,0.28347
2018-04-01,2.45906
2018-07-01,0.81638
2018-10-01,1.49209
2019-01-01,-1.15246
2019-04-01,2.2795
2019-07-01,0.6248
2019-10-01,1.21997
2020-01-01,-0.24751
2020-04-01,1.20471
2020-07-01,-1.05891
2020-10-01,2.30923
2021-01-01,0.2071
2021-04-01,0.52894
2021-07-01,-0.66205
2021-10-01,3.05529
2022-01-01,-1.08582
2022-04-01,2.06812
2022-07-01,0.47875
2022-10-01,1.34551
2023-01-01,0.61913
2023-04-01,2.62247
2023-07-01,-1.05168
2023-10-01,1.60402
